filename,dataset
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,KDD21
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,KDD21
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,KDD21
044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt,KDD21
04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@10.out,GHL
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt,KDD21
055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.txt,KDD21
05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@8.out,GHL
064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200.txt,KDD21
06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@13.out,GHL
06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@8.out,GHL
074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800.txt,KDD21
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.txt,KDD21
07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@4.out,GHL
080_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168251.txt,KDD21
087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.txt,KDD21
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.txt,KDD21
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,KDD21
08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@2.out,GHL
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.txt,KDD21
094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.txt,KDD21
096_UCR_Anomaly_NOISEECG4_5000_16900_17100.txt,KDD21
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,KDD21
09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@10.out,GHL
100.test.csv@1.out,MITDB
100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260.txt,KDD21
101-freeway-traffic.test.out,Dodgers
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,KDD21
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,KDD21
113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,KDD21
117.test.csv@2.out,MITDB
118.test.csv@1.out,MITDB
11_Lev_fault_Temp_corr_seed_41_vars_23.test.csv@10.out,GHL
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,KDD21
124_UCR_Anomaly_ECG4_5000_16900_17100.txt,KDD21
125_UCR_Anomaly_ECG4_5000_17000_17100.txt,KDD21
129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,KDD21
12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@8.out,GHL
131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716.txt,KDD21
134_UCR_Anomaly_InternalBleeding15_1700_5684_5854.txt,KDD21
137_UCR_Anomaly_InternalBleeding18_2300_4485_4587.txt,KDD21
139_UCR_Anomaly_InternalBleeding20_2700_5759_5919.txt,KDD21
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@2.out,GHL
145_UCR_Anomaly_Lab2Cmac011215EPG1_5000_17210_17260.txt,KDD21
14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@13.out,GHL
156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085.txt,KDD21
158_UCR_Anomaly_TkeepForthMARS_3500_5988_6085.txt,KDD21
15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@4.out,GHL
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995.txt,KDD21
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979.txt,KDD21
163_UCR_Anomaly_apneaecg2_10000_20950_21100.txt,KDD21
168_UCR_Anomaly_gait2_22000_46500_46800.txt,KDD21
16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@10.out,GHL
16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@4.out,GHL
178_UCR_Anomaly_ltstdbs30791AI_17555_52600_52800.txt,KDD21
183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800.txt,KDD21
185_UCR_Anomaly_resperation11_58000_110800_110801.txt,KDD21
192_UCR_Anomaly_s20101mML2_12000_35774_35874.txt,KDD21
19_Lev_fault_Temp_corr_seed_62_vars_23.test.csv@4.out,GHL
209_UCR_Anomaly_Fantasia_19000_26970_27270.txt,KDD21
20_Lev_fault_Temp_corr_seed_67_vars_23.test.csv@4.out,GHL
221.test.csv@2.out,MITDB
222_UCR_Anomaly_mit14046longtermecg_56123_91200_91700.txt,KDD21
223.test.csv@2.out,MITDB
22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@16.out,GHL
233.test.csv@2.out,MITDB
240_UCR_Anomaly_taichidbS0715Master_240030_884100_884200.txt,KDD21
241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.txt,KDD21
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,KDD21
245_UCR_Anomaly_tilt12754table_100211_270800_271070.txt,KDD21
35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@1.out,GHL
35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@12.out,GHL
35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@13.out,GHL
35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@4.out,GHL
39_Lev_corr_Temp_fault_seed_170_vars_23.test.csv@3.out,GHL
47_Lev_corr_Temp_fault_seed_197_vars_23.test.csv@7.out,GHL
5.test.out,MGAB
801.test.csv@2.out,SVDB
806.test.csv@1.out,SVDB
811.test.csv@1.out,SVDB
812.test.csv@2.out,SVDB
820.test.csv@2.out,SVDB
826.test.csv@1.out,SVDB
826.test.csv@2.out,SVDB
828.test.csv@2.out,SVDB
841.test.csv@1.out,SVDB
845.test.csv@1.out,SVDB
851.test.csv@1.out,SVDB
853.test.csv@2.out,SVDB
869.test.csv@1.out,SVDB
872.test.csv@2.out,SVDB
875.test.csv@1.out,SVDB
875.test.csv@2.out,SVDB
879.test.csv@1.out,SVDB
884.test.csv@1.out,SVDB
889.test.csv@1.out,SVDB
891.test.csv@2.out,SVDB
894.test.csv@2.out,SVDB
9.test.out,MGAB
