filename,dataset
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,KDD21
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt,KDD21
016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100.txt,KDD21
025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,KDD21
027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,KDD21
02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@1.out,GHL
02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@8.out,GHL
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt,KDD21
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt,KDD21
046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt,KDD21
04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@10.out,GHL
04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@13.out,GHL
061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt,KDD21
06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@10.out,GHL
07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@4.out,GHL
081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251.txt,KDD21
082_UCR_Anomaly_DISTORTEDresperation4_70000_128430_128431.txt,KDD21
085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.txt,KDD21
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,KDD21
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.txt,KDD21
08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@10.out,GHL
08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@4.out,GHL
094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.txt,KDD21
095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.txt,KDD21
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,KDD21
09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@8.out,GHL
101-freeway-traffic.test.out,Dodgers
101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.txt,KDD21
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,KDD21
109.test.csv@1.out,MITDB
10_Lev_fault_Temp_corr_seed_39_vars_23.test.csv@1.out,GHL
111.test.csv@2.out,MITDB
111_UCR_Anomaly_3sddb40_35000_46600_46900.txt,KDD21
115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,KDD21
117.test.csv@2.out,MITDB
11_Lev_fault_Temp_corr_seed_41_vars_23.test.csv@13.out,GHL
122.test.csv@1.out,MITDB
12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@10.out,GHL
12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@2.out,GHL
133_UCR_Anomaly_InternalBleeding14_2800_5607_5634.txt,KDD21
136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.txt,KDD21
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@10.out,GHL
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@13.out,GHL
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@4.out,GHL
158_UCR_Anomaly_TkeepForthMARS_3500_5988_6085.txt,KDD21
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995.txt,KDD21
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979.txt,KDD21
163_UCR_Anomaly_apneaecg2_10000_20950_21100.txt,KDD21
165_UCR_Anomaly_apneaecg4_6000_16000_16100.txt,KDD21
16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@10.out,GHL
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,KDD21
174_UCR_Anomaly_insectEPG2_3700_8000_8025.txt,KDD21
179_UCR_Anomaly_ltstdbs30791AS_23000_52600_52800.txt,KDD21
183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800.txt,KDD21
