filename,dataset,path
101-freeway-traffic.test.out,Dodgers,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Dodgers\101-freeway-traffic.test.out
MBA_ECG803_data.out,ECG,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\ECG\MBA_ECG803_data.out
KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,IOPS,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\IOPS\KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out
NAB_data_CloudWatch_5.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_CloudWatch_5.out
NAB_data_CloudWatch_17.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_CloudWatch_17.out
NAB_data_art1_2.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_art1_2.out
NAB_data_CloudWatch_16.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_CloudWatch_16.out
NAB_data_art1_0.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_art1_0.out
stb-17.test.out,SensorScope,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\SensorScope\stb-17.test.out
stb-6.test.out,SensorScope,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\SensorScope\stb-6.test.out
stb-31.test.out,SensorScope,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\SensorScope\stb-31.test.out
stb-18.test.out,SensorScope,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\SensorScope\stb-18.test.out
Yahoo_A2synthetic_70_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_70_data.out
Yahoo_A1real_66_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_66_data.out
YahooA3Benchmark-TS11_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS11_data.out
Yahoo_A1real_17_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_17_data.out
Yahoo_A2synthetic_61_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_61_data.out
Yahoo_A2synthetic_32_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_32_data.out
Yahoo_A2synthetic_98_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_98_data.out
Yahoo_A1real_16_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_16_data.out
Yahoo_A1real_36_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_36_data.out
Yahoo_A2synthetic_81_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_81_data.out
Yahoo_A2synthetic_47_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_47_data.out
Yahoo_A1real_1_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_1_data.out
YahooA3Benchmark-TS64_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS64_data.out
YahooA3Benchmark-TS56_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS56_data.out
Yahoo_A1real_28_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_28_data.out
YahooA3Benchmark-TS58_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS58_data.out
