filename,dataset,path
KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,IOPS,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\IOPS\KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,IOPS,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\IOPS\KPI-7103fa0f-cac4-314f-addc-866190247439.test.out
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,IOPS,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\IOPS\KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out
7.test.out,MGAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\MGAB\7.test.out
6.test.out,MGAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\MGAB\6.test.out
NAB_data_Exchange_1.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_Exchange_1.out
Yahoo_A2synthetic_24_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_24_data.out
Yahoo_A1real_61_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_61_data.out
Yahoo_A2synthetic_92_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_92_data.out
Yahoo_A2synthetic_22_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_22_data.out
Yahoo_A2synthetic_2_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_2_data.out
YahooA4Benchmark-TS22_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS22_data.out
YahooA4Benchmark-TS32_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS32_data.out
Yahoo_A2synthetic_64_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_64_data.out
219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.out
190_UCR_Anomaly_resperation4_70000_128430_128431.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\190_UCR_Anomaly_resperation4_70000_128430_128431.out
061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.out
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.out
101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.out
230_UCR_Anomaly_mit14134longtermecg_19363_19510_19610.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\230_UCR_Anomaly_mit14134longtermecg_19363_19510_19610.out
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.out
111_UCR_Anomaly_3sddb40_35000_46600_46900.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\111_UCR_Anomaly_3sddb40_35000_46600_46900.out
055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.out
243_UCR_Anomaly_tilt12744mtable_100000_203355_203400.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\243_UCR_Anomaly_tilt12744mtable_100000_203355_203400.out
118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054.out
067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050.out
227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.out
234_UCR_Anomaly_mit14157longtermecg_18913_24600_24601.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\234_UCR_Anomaly_mit14157longtermecg_18913_24600_24601.out
015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.out
114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.out
250_UCR_Anomaly_weallwalk_2951_7290_7296.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\250_UCR_Anomaly_weallwalk_2951_7290_7296.out
226_UCR_Anomaly_mit14046longtermecg_96123_123000_123300.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\226_UCR_Anomaly_mit14046longtermecg_96123_123000_123300.out
225_UCR_Anomaly_mit14046longtermecg_81214_143000_143300.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\225_UCR_Anomaly_mit14046longtermecg_81214_143000_143300.out
163_UCR_Anomaly_apneaecg2_10000_20950_21100.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\163_UCR_Anomaly_apneaecg2_10000_20950_21100.out
029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.out
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.out
185_UCR_Anomaly_resperation11_58000_110800_110801.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\185_UCR_Anomaly_resperation11_58000_110800_110801.out
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995.out
S09R01E4.test.csv@3.out,Daphnet,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Daphnet\S09R01E4.test.csv@3.out
S09R01E0.test.csv@8.out,Daphnet,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Daphnet\S09R01E0.test.csv@8.out
S09R01E0.test.csv@7.out,Daphnet,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Daphnet\S09R01E0.test.csv@7.out
S06R01E2.test.csv@5.out,Daphnet,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Daphnet\S06R01E2.test.csv@5.out
genesis-anomalies.test.csv@6.out,Genesis,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Genesis\genesis-anomalies.test.csv@6.out
20_Lev_fault_Temp_corr_seed_67_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\20_Lev_fault_Temp_corr_seed_67_vars_23.test.csv@13.out
07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@4.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@4.out
14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@13.out
15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@13.out
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@4.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@4.out
02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@1.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@1.out
04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@13.out
14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@2.out
09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@4.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@4.out
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@2.out
12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@13.out
22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@2.out
04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@2.out
12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@2.out
48_Lev_corr_Temp_fault_seed_199_vars_23.test.csv@16.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\48_Lev_corr_Temp_fault_seed_199_vars_23.test.csv@16.out
105.test.csv@1.out,MITDB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\MITDB\105.test.csv@1.out
