filename,dataset,path
MBA_ECG806_data.out,ECG,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\ECG\MBA_ECG806_data.out
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,IOPS,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\IOPS\KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out
KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,IOPS,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\IOPS\KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out
NAB_data_tweets_5.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_tweets_5.out
NAB_data_Exchange_3.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_Exchange_3.out
NAB_data_tweets_6.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_tweets_6.out
NAB_data_tweets_10.out,NAB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\NAB\NAB_data_tweets_10.out
stb-29.test.out,SensorScope,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\SensorScope\stb-29.test.out
YahooA3Benchmark-TS80_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS80_data.out
YahooA3Benchmark-TS52_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS52_data.out
YahooA4Benchmark-TS75_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS75_data.out
YahooA4Benchmark-TS71_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS71_data.out
YahooA3Benchmark-TS3_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS3_data.out
YahooA3Benchmark-TS28_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS28_data.out
YahooA3Benchmark-TS45_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS45_data.out
YahooA3Benchmark-TS57_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS57_data.out
Yahoo_A1real_54_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_54_data.out
YahooA3Benchmark-TS5_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS5_data.out
Yahoo_A2synthetic_40_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_40_data.out
YahooA4Benchmark-TS4_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS4_data.out
Yahoo_A1real_27_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_27_data.out
YahooA3Benchmark-TS31_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS31_data.out
YahooA4Benchmark-TS39_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS39_data.out
YahooA4Benchmark-TS38_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS38_data.out
Yahoo_A2synthetic_52_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_52_data.out
YahooA4Benchmark-TS65_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS65_data.out
YahooA4Benchmark-TS81_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS81_data.out
YahooA3Benchmark-TS90_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS90_data.out
YahooA4Benchmark-TS90_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS90_data.out
YahooA3Benchmark-TS14_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS14_data.out
YahooA3Benchmark-TS46_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS46_data.out
YahooA4Benchmark-TS85_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS85_data.out
YahooA3Benchmark-TS96_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS96_data.out
YahooA4Benchmark-TS27_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS27_data.out
Yahoo_A2synthetic_71_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_71_data.out
YahooA4Benchmark-TS11_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS11_data.out
YahooA4Benchmark-TS53_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS53_data.out
Yahoo_A2synthetic_57_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_57_data.out
YahooA4Benchmark-TS60_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS60_data.out
YahooA3Benchmark-TS10_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS10_data.out
YahooA3Benchmark-TS95_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS95_data.out
YahooA4Benchmark-TS73_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS73_data.out
YahooA3Benchmark-TS65_data.out,YAHOO,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS65_data.out
155_UCR_Anomaly_PowerDemand4_18000_24005_24077.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.out
182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.out
087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.out
203_UCR_Anomaly_CHARISfive_11812_10995_11028.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\203_UCR_Anomaly_CHARISfive_11812_10995_11028.out
208_UCR_Anomaly_CHARISten_5130_27929_27989.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\208_UCR_Anomaly_CHARISten_5130_27929_27989.out
174_UCR_Anomaly_insectEPG2_3700_8000_8025.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\174_UCR_Anomaly_insectEPG2_3700_8000_8025.out
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.out
047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.out
109_UCR_Anomaly_1sddb40_35000_52000_52620.txt,KDD21,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\KDD21\109_UCR_Anomaly_1sddb40_35000_52000_52620.out
S03R01E0.test.csv@8.out,Daphnet,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\Daphnet\S03R01E0.test.csv@8.out
01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@8.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@8.out
40_Lev_corr_Temp_fault_seed_180_vars_23.test.csv@3.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\40_Lev_corr_Temp_fault_seed_180_vars_23.test.csv@3.out
06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@8.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@8.out
13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@10.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@10.out
02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@2.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@2.out
07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@8.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@8.out
36_Lev_corr_Temp_fault_seed_159_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\36_Lev_corr_Temp_fault_seed_159_vars_23.test.csv@13.out
28_Lev_corr_Temp_fault_seed_119_vars_23.test.csv@13.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\28_Lev_corr_Temp_fault_seed_119_vars_23.test.csv@13.out
45_Lev_corr_Temp_fault_seed_193_vars_23.test.csv@3.out,GHL,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\GHL\45_Lev_corr_Temp_fault_seed_193_vars_23.test.csv@3.out
215.test.csv@2.out,MITDB,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\MITDB\215.test.csv@2.out
S4-ADL3.test.csv@108.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S4-ADL3.test.csv@108.out
S1-ADL3.test.csv@124.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL3.test.csv@124.out
S1-ADL3.test.csv@53.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL3.test.csv@53.out
S4-ADL2.test.csv@124.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S4-ADL2.test.csv@124.out
S4-ADL4.test.csv@104.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S4-ADL4.test.csv@104.out
S1-ADL5.test.csv@79.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@79.out
S3-ADL1.test.csv@61.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL1.test.csv@61.out
S1-ADL5.test.csv@68.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@68.out
S4-ADL5.test.csv@6.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S4-ADL5.test.csv@6.out
S1-ADL5.test.csv@54.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@54.out
S1-ADL1.test.csv@16.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL1.test.csv@16.out
S1-ADL5.test.csv@52.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@52.out
S3-ADL5.test.csv@55.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL5.test.csv@55.out
S1-ADL3.test.csv@110.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL3.test.csv@110.out
S1-ADL3.test.csv@119.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL3.test.csv@119.out
S3-ADL4.test.csv@94.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL4.test.csv@94.out
S3-ADL3.test.csv@67.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL3.test.csv@67.out
S3-ADL4.test.csv@69.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL4.test.csv@69.out
S1-ADL3.test.csv@120.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL3.test.csv@120.out
S1-ADL4.test.csv@93.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL4.test.csv@93.out
S1-ADL5.test.csv@81.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@81.out
S1-ADL2.test.csv@48.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL2.test.csv@48.out
S1-ADL2.test.csv@124.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL2.test.csv@124.out
S3-ADL5.test.csv@68.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL5.test.csv@68.out
S2-ADL2.test.csv@104.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL2.test.csv@104.out
S3-ADL4.test.csv@53.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL4.test.csv@53.out
S1-ADL4.test.csv@120.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL4.test.csv@120.out
S2-ADL4.test.csv@76.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL4.test.csv@76.out
S3-ADL1.test.csv@68.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL1.test.csv@68.out
S3-ADL4.test.csv@51.out,OPPORTUNITY,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL4.test.csv@51.out
