baseline_name,filename_actual,folder,mean_AUC_ROC,difficulty,data_len,ratio,type_an,filepath
S1-ADL4.test.csv@52.out,S1-ADL4.test.csv@52.out,OPPORTUNITY,0.7079999673333334,Easy,32955,0.030344409,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL4.test.csv@52.out
S1-ADL5.test.csv@18.out,S1-ADL5.test.csv@18.out,OPPORTUNITY,0.6422649024166668,Medium,30127,0.040428851,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@18.out
S4-ADL5.test.csv@108.out,S4-ADL5.test.csv@108.out,OPPORTUNITY,0.6900164755833332,Medium,30527,0.030497592,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S4-ADL5.test.csv@108.out
S2-ADL5.test.csv@78.out,S2-ADL5.test.csv@78.out,OPPORTUNITY,0.6419265555,Medium,31826,0.036385345,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL5.test.csv@78.out
S3-ADL1.test.csv@38.out,S3-ADL1.test.csv@38.out,OPPORTUNITY,0.6988302652499999,Medium,37223,0.068344841,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL1.test.csv@38.out
S2-ADL4.test.csv@38.out,S2-ADL4.test.csv@38.out,OPPORTUNITY,0.6953646418333334,Medium,32748,0.0225968,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL4.test.csv@38.out
S2-ADL2.test.csv@77.out,S2-ADL2.test.csv@77.out,OPPORTUNITY,0.6675953084166668,Medium,30182,0.027234776,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL2.test.csv@77.out
S3-ADL1.test.csv@61.out,S3-ADL1.test.csv@61.out,OPPORTUNITY,0.6448131733333332,Medium,37223,0.068344841,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL1.test.csv@61.out
S3-ADL2.test.csv@54.out,S3-ADL2.test.csv@54.out,OPPORTUNITY,0.445579414,Hard,27825,0.050997305,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL2.test.csv@54.out
S3-ADL4.test.csv@80.out,S3-ADL4.test.csv@80.out,OPPORTUNITY,0.4801525046666666,Hard,27681,0.078031863,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL4.test.csv@80.out
S1-ADL2.test.csv@68.out,S1-ADL2.test.csv@68.out,OPPORTUNITY,0.4565824794166666,Hard,32224,0.043290715,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL2.test.csv@68.out
S2-ADL5.test.csv@91.out,S2-ADL5.test.csv@91.out,OPPORTUNITY,0.44689907625,Hard,31826,0.036385345,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL5.test.csv@91.out
S1-ADL4.test.csv@42.out,S1-ADL4.test.csv@42.out,OPPORTUNITY,0.4790384993333332,Hard,32955,0.030344409,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL4.test.csv@42.out
S1-ADL1.test.csv@42.out,S1-ADL1.test.csv@42.out,OPPORTUNITY,0.4885107784166667,Hard,51116,0.022067454,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL1.test.csv@42.out
S1-ADL2.test.csv@81.out,S1-ADL2.test.csv@81.out,OPPORTUNITY,0.4436647823333333,Hard,32224,0.043290715,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL2.test.csv@81.out
S1-ADL5.test.csv@132.out,S1-ADL5.test.csv@132.out,OPPORTUNITY,0.4662087966666667,Hard,30127,0.040428851,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@132.out
S2-ADL4.test.csv@68.out,S2-ADL4.test.csv@68.out,OPPORTUNITY,0.4619236903333333,Hard,32748,0.0225968,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL4.test.csv@68.out
S1-ADL5.test.csv@127.out,S1-ADL5.test.csv@127.out,OPPORTUNITY,0.47010324575,Hard,30127,0.040428851,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@127.out
S2-ADL3.test.csv@79.out,S2-ADL3.test.csv@79.out,OPPORTUNITY,0.4486001074166665,Hard,34232,0.026670951,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL3.test.csv@79.out
S1-ADL5.test.csv@90.out,S1-ADL5.test.csv@90.out,OPPORTUNITY,0.5750192496666666,Hard,30127,0.040428851,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL5.test.csv@90.out
S1-ADL2.test.csv@108.out,S1-ADL2.test.csv@108.out,OPPORTUNITY,0.5823693401666666,Hard,32224,0.043290715,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S1-ADL2.test.csv@108.out
S2-ADL5.test.csv@80.out,S2-ADL5.test.csv@80.out,OPPORTUNITY,0.4850270995,Hard,31826,0.036385345,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S2-ADL5.test.csv@80.out
S3-ADL5.test.csv@103.out,S3-ADL5.test.csv@103.out,OPPORTUNITY,0.6109216495833333,Hard,26495,0.056576713,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\OPPORTUNITY\S3-ADL5.test.csv@103.out
YahooA4Benchmark-TS36_data.out,YahooA4Benchmark-TS36_data.out,YAHOO,0.7517227563333333,Easy,1680,0.008928571,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS36_data.out
YahooA3Benchmark-TS24_data.out,YahooA3Benchmark-TS24_data.out,YAHOO,0.8267068123333333,Easy,1680,0.004761905,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS24_data.out
YahooA4Benchmark-TS33_data.out,YahooA4Benchmark-TS33_data.out,YAHOO,0.7648756218333332,Easy,1680,0.002380952,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS33_data.out
YahooA4Benchmark-TS79_data.out,YahooA4Benchmark-TS79_data.out,YAHOO,0.71033048275,Easy,1680,0.001785714,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS79_data.out
YahooA3Benchmark-TS56_data.out,YahooA3Benchmark-TS56_data.out,YAHOO,0.7954906634166666,Easy,1680,0.000595238,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS56_data.out
YahooA3Benchmark-TS71_data.out,YahooA3Benchmark-TS71_data.out,YAHOO,0.7068895319999999,Easy,1680,0.00952381,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS71_data.out
Yahoo_A1real_1_data.out,Yahoo_A1real_1_data.out,YAHOO,0.8011497294166667,Easy,1420,0.001408451,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A1real_1_data.out
YahooA3Benchmark-TS8_data.out,YahooA3Benchmark-TS8_data.out,YAHOO,0.7746455224999999,Easy,1680,0.002380952,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS8_data.out
YahooA3Benchmark-TS51_data.out,YahooA3Benchmark-TS51_data.out,YAHOO,0.7448210051666667,Easy,1680,0.007738095,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA3Benchmark-TS51_data.out
YahooA4Benchmark-TS7_data.out,YahooA4Benchmark-TS7_data.out,YAHOO,0.7448913199166668,Easy,1680,0.008333333,point,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\YahooA4Benchmark-TS7_data.out
Yahoo_A2synthetic_91_data.out,Yahoo_A2synthetic_91_data.out,YAHOO,0.7905705626666667,Easy,1421,0.002814919,sequence,C:\Users\gkost\thesis_timeseries\TSB-UAD\data\TSB-UAD-Public\YAHOO\Yahoo_A2synthetic_91_data.out
